"","RN","PN","Rdate"
"5343","MK595700","QBK12117","2018/10/15"
"5359","MK592841","QBJ05988","2019/02/13"
"653","MK898978","QCO72348","2018/10/31"
"652","MK898970","QCO72348","2018/10/30"
"4096","MK960540","QCT08740","2019/03/18"
"7662","MK292649","AZL96940","2018/10/11"
"4084","MK927190","QCQ18414","2019/02/06"
"10216","MN222853","QDQ45515","2019/03/03"
"15028","MK398551","QAB01730","2018/11/27"
"9418","MK743674","QBS19468","2019/01/16"
"7773","MK363353","AZS63566","2018/11/06"
"7143","MK244803","AZG02650","2018/09/30"
"8229","MK398591","QAB01789","2018/10/15"
"8230","MK398607","QAB01813","2018/10/23"
"9043","MK265427","AZJ60548","2018/09/18"
"4086","MK927193","QCQ18417","2019/01/28"
"4102","MN081162","QDD56721","2019/04/10"
"3172","MK772215","QBY32694","2019/02/04"
"14192","MK772755","QBY33504","2019/01/28"
"7597","MK745424","QBS21713","2019/01/10"
"4077","MK576810","QBH71197","2018/12/31"
"10244","MK077440","AYN08186","2018/08/20"
"10245","MK268368","AYN08186","2018/08/20"
"532","MK624019","QBL91301","2019/01/01"
"14898","MK077496","AYN08270","2018/09/04"
"7702","MN061083","QDA45669","2019/03/14"
"6492","MN061147","QDA45760","2019/02/21"
"14299","MN061211","QDA45852","2019/02/21"
"3403","MK869107","QCH42094","2019/01/30"
"4098","MN073992","QDC19548","2019/03/19"
"10922","MN222917","QDQ45611","2019/03/06"
"6914","MK363544","AZS63854","2018/10/13"
"12785","MN221552","QDQ43565","2019/03/20"
"13725","MK840323","QCF44056","2019/01/14"
"7317","MK181883","AYW00499","2018/09/01"
"1087","MK927163","QCQ18387","2019/02/04"
"3402","MK763560","QBX92070","2019/01/29"
"4097","MN074314","QDC20015","2019/03/19"
"5697","MK927209","QCQ18433","2019/02/01"
"7328","MK624338","QBL91778","2018/12/18"
"7147","MK555082","QBF65723","2018/12/10"
"10899","MH082804","AVP07642","2018/01/19"
"13918","MK857585","QCG85507","2019/02/06"
"13919","MN248147","QCG85507","2019/02/06"
"9421","MK763000","QBX91250","2019/01/28"
"1086","MK927682","QCQ19133","2019/01/29"
"10764","MK677307","QBP38940","2018/12/27"
"3730","MK636003","QBM12536","2018/12/24"
"4565","MK743370","QBS19034","2018/12/29"
"456","MK398509","QAB01667","2018/11/05"
"13931","MK856467","QCG83834","2019/02/11"
"3407","MK927730","QCQ19204","2019/02/08"
"4092","MK960468","QCT08632","2019/02/28"
"3408","MK927738","QCQ19216","2019/02/09"
"4044","MK912638","QCP66935","2019/03/13"
"5811","MK785815","QBZ79437","2019/01/18"
"5686","MK576228","QBH70357","2019/01/10"
"485","MK623068","QBL89971","2018/11/23"
"3400","MK742941","QBS18412","2019/01/10"
"3401","MK743242","QBS18848","2019/01/10"
"3399","MK576221","QBH70350","2019/01/07"
"5462","MK623116","QBL90043","2018/12/02"
"5463","MK624213","QBL90043","2018/12/02"
"6089","MN084600","QDE07044","2019/04/05"
"2951","MN246546","QDQ44065","2019/02/17"
"2950","MN221885","QDQ44065","2019/02/17"
"3191","MN084291","QDE06581","2019/03/10"
"3316","MK744920","QBS20958","2018/12/28"
"10156","MK927954","QCQ19536","2019/02/07"
"6894","MN247274","QDX13005","2019/02/19"
"3212","MK027471","AYG77360","2018/08/06"
"12885","MK077464","AYN08222","2018/08/30"
"14986","CY264353","AUM85515","2017/12/09"
"12032","MG279230","ATY41152","2017/07/04"
"6363","MK624283","QBL91696","2018/12/24"
"4135","MK400741","QAB03209","2018/02/15"
"5798","MK381486","AZY87049","2018/01/24"
"2176","MK898495","AKQ09862","2017/12/22"
"2201","MK898532","AKQ09862","2017/12/21"
"3394","MK502368","QBA98385","2018/01/31"
"4063","MK382013","AZY87822","2018/01/11"
"7276","MH600844","AXB52000","2018/03/28"
"4455","MH600710","AXB51798","2018/03/21"
"8027","MK927228","QCQ18452","2019/02/07"
"306","MK743202","QBS18791","2019/01/15"
