"","Nodeid","sackin","colless","Variance","I2","B1","B2","avgLadder","ILnumber","pitchforks","maxHeight","MaxWidth","DelW","Stairs1","Stairs2","Cherries","BS","descinm","getstattest","skewness","kurtosis","MeanPairwiseDist","MaxPairwiseDist","diameter","WienerIndex","betweenness","closeness","eigenvector"
"305",25417,1.37120688932536,0.649519052838329,0.00668431327948539,5.53968253968254,5.95,5.25941468660244,0,0.4,0.5,0.636363636363636,4,2,0.636363636363636,0.607254361799816,4,16.4274795225031,0.557834344707416,1.45799536773764,2.08951027857509,5.88004708543985,0.0413242389756944,0.2712328767,8,1086,151,0.0161290322580645,0.415830164684271
"306",25429,1.45840773619725,0.751300955010707,0.00533524457300432,4.33333333333333,3.28333333333333,4.14031970495757,0.5,0.666666666666667,0.375,0.857142857142857,4,2,0.714285714285714,0.525170068027211,2,6.94447706284008,1.78976418488627,1.70033380707088,1.78885438199983,4.2,0.037243202084375,0.2054797262,7,358,63,0.032258064516129,0.486131929592454
"307",25483,1.54679608384557,0.928077650307344,0.0211409270067512,6,2.45,4.18622533631471,1,1,0.375,1,2,1,0.857142857142857,0.370408163265306,1,6.32339852354687,2.38289392506364,2.63752566923593,1.78885438199983,4.2,0.069349315084375,0.3095890414,8,378,55,0.0285714285714286,0.436770287997721
"308",25485,1.28163104090062,0.486135912065751,0.0114602042729126,4.2,3.58333333333333,3.66059478409207,0.333333333333333,0.666666666666667,0.75,0.714285714285714,4,2,0.714285714285714,0.603741496598639,2,9.94093315381765,1.72582983833265,1.70033380707088,1.78885438199983,4.2,0.0423801369875,0.3369863014,7,366,59,0.0303030303030303,0.454213803677494
"309",25529,1.85468419145431,1.28401213254529,0.00624413431241891,11.8,6.01987734487734,8.3606253926886,0.2,0.733333333333333,0.529411764705882,0.75,4,2,0.8125,0.409085966117216,3,17.7433662962826,1.34462055182362,4.64920134829057,1.84694165444231,5.71358774879308,0.0417310531337024,0.30685005474,13,2988,305,0.00819672131147541,0.352452729809675
"310",25569,1.25735070088358,0.592305702069122,0.0139241701006085,11.3408152734778,10.5095238095238,10.9774790293072,0.131578947368421,0.473684210526316,0.714285714285714,0.4,6,2,0.65,0.59592333105491,6,16.912440719309,-0.183562824130569,3.40384876474925,1.93212557748814,5.44684527014471,0.0619018723677098,0.47945342464,12,4882,473,0.00645161290322581,0.364537184272985
"311",25598,1.2962962962963,0.481481481481481,0.0209605070908149,3.33333333333333,4.58333333333333,4.58816523845629,0,0.428571428571429,0.333333333333333,0.625,4,2,0.5,0.684375,3,8.15686229148458,0.679101164609755,-0.378377903822113,0.315931511640661,1.16674704144207,0.0736676840676543,0.4630109587,7,502,73,0.025,0.426878566469892
"312",25639,1.64438438328756,1.01192885125388,0.00341852755864273,6.33333333333333,3.59285714285714,5.28079370897175,0.625,0.75,0.3,0.888888888888889,4,2,0.777777777777778,0.434700176366843,2,7.60080964268809,1.91222688160999,2.72981585934716,1.25704256614576,2.72428658254372,0.030219178076,0.194520548,9,696,95,0.02,0.434945236380371
"313",25664,1.43631064928517,0.861786389571105,0.0327227116087671,17.2934318555008,14.7634670884671,15.4934124422821,0.075,0.466666666666667,0.375,0.451612903225806,10,2,0.645161290322581,0.551928122067789,9,33.6332718812503,-0.0570019638400895,7.86853106071748,1.91915594031681,6.17954730896357,0.101072910649668,0.67945243852,18,16184,1137,0.00289017341040462,0.333784665074391
"314",25743,1.54679608384557,0.928077650307344,1.6084113342548e-12,6,2.45,4.07582860227317,1,1,0.375,1,2,1,0.857142857142857,0.370408163265306,1,7.48700191029636,2.38289392506364,2.63752566923593,1.58864045835468,3.77867057607325,5.13693749995547e-07,2.73969999997625e-06,8,378,55,0.0285714285714286,0.436770287997721
"315",25763,1.140625,0.390625,0.0142961421353351,7.31428571428571,8.45,8.27237650767008,0.142857142857143,0.428571428571429,0.5625,0.4,8,2,0.6,0.658888888888889,5,13.738604265169,0.506214197208178,2.86808554896516,1.07724751630948,2.86495002040021,0.0645014584755625,0.34794627401,10,2414,287,0.0102040816326531,0.415775601001368
"316",25795,1.5623769673575,0.959354278201975,0.00688885536909694,7.77777777777778,3.71785714285714,5.79836873816409,0.777777777777778,0.777777777777778,0.272727272727273,0.9,4,2,0.8,0.394007936507937,2,8.43662121241749,1.9238097479156,3.21596381309456,1.79771455428946,4.69880379287838,0.0431111377829752,0.24109589045,11,986,109,0.0151515151515152,0.390143562340639
"317",25838,1.27498184446042,0.553294007973391,0.0146039111347442,8.2,4.53333333333333,6.23513616211534,0.4,0.8,0.5,0.636363636363636,4,2,0.818181818181818,0.477056277056277,2,10.0362343196737,2.46504246148569,NA,1.15629976805074,3.19270187146557,0.0648401826539236,0.37260273977,12,1302,131,0.0123456790123457,0.374533392754873
"318",25839,1.70762993649092,1.13841995766062,0.0257322407756639,8,2.71785714285714,4.50719926738203,1,1,0.3,1,2,1,0.888888888888889,0.314329805996473,1,12.6267867767766,2.52778700239722,3.54662136463745,1.35066499549853,3.07655564352927,0.084164383555,0.4438356164,10,732,89,0.0185185185185185,0.395645371234761
"319",25854,1.50260191002141,0.795495128834866,0.0138600112396973,4,3.28333333333333,3.82468072241541,0.666666666666667,0.666666666666667,0,0.857142857142857,4,2,0.571428571428571,0.537074829931973,2,8.94243460911275,1.77678092285966,1.70033380707088,NA,NA,0.0616438355765625,0.3643835613,7,364,57,0.0303030303030303,0.459840771932545
"320",25898,2.18480442382616,1.62491025393199,0.00554883705338501,15.7373949579832,12.7348956598957,15.7488377801072,0.232142857142857,0.5,0.2,0.551724137931034,12,4,0.655172413793103,0.512639507565198,8,23.8991383274625,0.27191329963779,6.8848192483604,1.87888920008275,5.82438424367183,0.0416284969603144,0.2876712329,17,13010,1115,0.00363636363636364,0.362574034486862
"321",25921,1.28007737590437,0.554700196225229,0.0165737621254607,4.98636363636364,6.95,6.78061397809886,0,0.272727272727273,0.230769230769231,0.583333333333333,6,2,0.5,0.653571428571429,5,10.5900199080945,-0.0827214594089223,0.450211778449324,1.15723155283243,2.88049181667592,0.0688013714626035,0.3506849312,10,1432,171,0.012987012987013,0.411106452436648
"322",25983,1.73295268256234,1.12921432863739,0.0332574037682441,10.8238095238095,8.85321067821068,10.2548472132853,0.194444444444444,0.444444444444444,0.3,0.631578947368421,8,4,0.684210526315789,0.521227378301274,6,17.3010111648387,-0.370321266171585,2.36710387552098,1.28955047920176,3.07477771776617,0.0999722264141,0.5616410959,13,4202,469,0.00746268656716418,0.394492590222867
"323",25991,1.67610496281256,1.04756560175785,0.0213820420290411,11.1111111111111,7.41230158730159,9.33461882151453,0.21875,0.625,0.5,0.588235294117647,6,2,0.764705882352941,0.489145845503977,4,14.9583088922199,0.655323476671821,3.2208300175826,1.34957247962057,3.24370315938225,0.069127518682466,0.627397646597,11,3248,379,0.00869565217391304,0.396214894384119
"324",26037,1.51475822815351,0.832050294337844,0.00349959610405937,5.09206349206349,6.59285714285714,6.07827505382771,0.181818181818182,0.272727272727273,0,0.666666666666667,4,2,0.5,0.611014911014911,5,15.5391075230031,0.677302592722612,1.28555768438923,0.879291788872728,2.41666757746234,0.0314497697240994,0.1671221615152,9,1334,171,0.0142857142857143,0.403688310969293
"325",26038,1.5455632064073,1.02378739247951,0.0150402800459971,21.5310277957337,18.5944194694195,19.5965699500018,0.0614035087719298,0.421052631578947,0.225,0.384615384615385,10,2,0.641025641025641,0.532464939468988,12,41.7015680360246,-1.81088046856918,7.64948061242673,1.7565869631797,5.7178117609038,0.0679024618827097,0.4958909287152,20,26794,1781,0.00228310502283105,0.321815727529621
"326",26103,1.28163104090062,0.486135912065751,0.0794810731557436,2.93333333333333,4.08333333333333,4.04410319332667,0,0.333333333333333,0.375,0.714285714285714,4,2,0.571428571428571,0.672789115646259,3,6.74764280976147,1.11971683612867,0.763141944905827,1.73713345648567,4.09905745337817,0.114298163525312,0.8493158906,6,350,63,0.0333333333333333,0.485873762946819
"327",26179,1.41148726395115,0.722956891292051,0.0864740214367805,9.84615384615385,5.87619047619048,7.46816879125759,0.307692307692308,0.692307692307692,0.4,0.571428571428571,4,2,0.714285714285714,0.485989010989011,3,12.9123338614081,1.36238453712455,3.49976192272005,1.92778599576535,5.05097760932824,0.118161327275733,1.20821863016,12,2196,253,0.0102040816326531,0.406993773700109
"328",26183,1.62265754018258,1.01177470152561,0.0198546190156537,9.22222222222222,5.32896825396825,6.52054434101903,0.291666666666667,0.666666666666667,0.428571428571429,0.769230769230769,6,2,0.769230769230769,0.441756320602474,3,16.545232431197,1.65179613926198,3.91356387363878,2.84475890158343,9.43287822638202,0.0765303606467347,0.41369643846,11,1726,201,0.0119047619047619,0.407772429203168
"329",26202,1.28401213254529,0.570672058909019,0.0100865331704543,8.70238095238095,8.23333333333333,8.90634566147185,0.266666666666667,0.466666666666667,0.529411764705882,0.4375,8,2,0.6875,0.59140625,5,13.61640059812,0.540995154262258,2.72234867287911,1.95735058981527,5.59233112849658,0.0555339299545259,0.293150685,12,2868,297,0.0087719298245614,0.400433988060865
"330",26246,1.48148148148148,0.740740740740741,0.0123625096609735,5,3.78333333333333,4.72948135076884,0.428571428571429,0.714285714285714,0.666666666666667,0.75,4,2,0.625,0.554315476190476,2,7.00769286598967,1.83802974668943,0.490030400031917,0.481955031882812,1.64002588887448,0.057162110591358,0.301369863,7,496,85,0.027027027027027,0.477349134648244
"331",26247,1.29738366322183,0.678863544709099,0.0170966157087387,17.6844242713808,10.3551587301587,13.6109230864878,0.152777777777778,0.666666666666667,0.576923076923077,0.44,10,2,0.8,0.471066089466089,5,20.550206843831,-0.924177248867757,2.90552347059105,1.88493199623939,6.11822711193791,0.0669329156222781,0.4767123289,18,9384,763,0.00416666666666667,0.346431665633754
"332",26327,1.70411267233126,1.08443533693808,0.0304211795264645,8.69206349206349,6.32896825396825,7.51641555426147,0.230769230769231,0.538461538461538,0.4,0.714285714285714,4,2,0.714285714285714,0.493847422418851,4,14.152948001427,1.13530637087858,1.96084430413765,1.26128180303669,2.8330048955301,0.0701856487013333,0.7232876712,11,1998,231,0.0112359550561798,0.402006936626057
"333",26375,1.59906655998032,1.05445693447978,0.0144711845103686,17.1695545195545,13.868228993229,14.7909055121823,0.0775862068965517,0.448275862068966,0.290322580645161,0.5,8,2,0.666666666666667,0.515392850943825,9,34.7802138268763,-0.427202263224122,6.91340932826278,1.53935077215448,4.25304238714245,0.0539906155524662,0.59999937001,17,14120,1133,0.00338983050847458,0.339831300084608
"334",26428,1.24926948673087,0.738579103144186,0.00942167652633371,26.3990533340259,25.6015623265623,26.8151000232217,0.0561224489795918,0.387755102040816,0.470588235294118,0.32,16,6,0.62,0.592833001947745,16,39.661047814911,-2.8231725822604,9.88928032370702,1.7860277294683,5.51052883059609,0.0484135175406497,0.501369863033,20,47358,2813,0.00162866449511401,0.322620961867178
"335",26431,1.31182654679988,0.795046391999925,0.0120046992820513,27.918463395692,19.9348956598957,23.2395281719198,0.0658914728682171,0.534883720930233,0.533333333333333,0.340909090909091,10,4,0.704545454545455,0.517660404401247,11,38.9276447278204,-1.58000993620123,9.69400935386363,2.14778025032322,7.05322849318421,0.056661625009521,0.6520547943,21,38520,2147,0.00172711571675302,0.355181582631544
"336",26476,1.62962962962963,1.03703703703704,0.0237714110701924,7,2.59285714285714,4.36398828162112,1,1,0.333333333333333,1,2,1,0.875,0.339732142857143,1,9.56077294824225,2.5504525076146,3.09525531159401,0.903074027693996,2.21389774672248,0.0802299746395062,0.4356158904,9,536,71,0.0227272727272727,0.416925605630739
"337",26488,1.20281306081172,0.384900179459751,0.00333134294049618,4.53333333333333,6.11666666666667,6.27895844573623,0.3,0.4,0.25,0.545454545454545,6,2,0.545454545454545,0.681601731601732,4,9.83081165725165,0.635218342609914,1.45799536773764,0.790828882660353,2.47698100207241,0.0311263317970834,0.17260273978,10,1220,131,0.0133333333333333,0.372648219755329
